antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Venue_Home Venue', 'Goals_High'})","frozenset({'Away_Weak', 'Result_Home Win'})",0.10926471181381842,0.43262211107974025,0.06880974468600008,0.6297526762643042,1.455664562989082,1.0,0.021539414394586523,1.5324294128464444,0.351427131152014,0.1454514451359877,0.3474413949399939,0.3944027226184471
"frozenset({'Home_Medium', 'Goals_High'})",frozenset({'Result_Home Win'}),0.09232444641632719,0.48162787883676844,0.06465534626709152,0.7003058103975536,1.4540391891120128,1.0,0.020189318974816968,1.7296702410242524,0.3440222951145416,0.12695018610913125,0.4218551164944403,0.41727458679998275
"frozenset({'Venue_Home Venue', 'Home_Strong'})",frozenset({'Result_Home Win'}),0.11019239301415722,0.48162787883676844,0.07683620376719236,0.6972913616398244,1.447780313971708,1.0,0.023764475255836276,1.7124457497194063,0.34758915300584486,0.1492011278195489,0.4160398948907693,0.4284128694975774
"frozenset({'Home_Medium', 'Tournament_FIFA World Cup', 'Away_Weak'})","frozenset({'Result_Home Win', 'Venue_Home Venue'})",0.1259629734199169,0.36453837776791836,0.06643004073730488,0.5273775216138328,1.4466995898840183,1.0,0.02051170274798495,1.3445437982593433,0.3532704930641188,0.1566482784858284,0.256253309639591,0.354804051800499
"frozenset({'Result_Home Win', 'Tournament_FIFA World Cup'})","frozenset({'Home_Medium', 'Venue_Home Venue', 'Away_Weak'})",0.12148590327915137,0.38252732626144476,0.06643004073730488,0.546812749003984,1.429473691064506,1.0,0.019958362977474622,1.3625111306230975,0.34198862680822817,0.1518112268411835,0.26606104161315414,0.3602368257883691
"frozenset({'Venue_Home Venue', 'Goals_High'})",frozenset({'Result_Home Win'}),0.10926471181381842,0.48162787883676844,0.07485983947081838,0.685123661867848,1.422516619101378,1.0,0.022234908088218222,1.6462720706110137,0.3334554262642949,0.14506800062529313,0.39256698947164304,0.4202772651521637
"frozenset({'Result_Home Win', 'Home_Medium', 'Tournament_FIFA World Cup'})","frozenset({'Away_Weak', 'Venue_Home Venue'})",0.07941757754204816,0.5958536683741379,0.06643004073730488,0.8364652107668866,1.4038097861330412,1.0,0.019108785825487938,2.471317164507211,0.3124682504871894,0.10910897648227888,0.5953574820901617,0.4739761916556967
"frozenset({'Home_Medium', 'Goals_Medium', 'Venue_Home Venue', 'Away_Weak'})",frozenset({'Result_Home Win'}),0.12789900375105875,0.48162787883676844,0.08562900818779494,0.6695048880479344,1.3900874875950455,1.0,0.02402928230583662,1.5684713704280602,0.3217755959642821,0.16344599276310726,0.36243656157581994,0.4236478464190765
frozenset({'Home_Strong'}),frozenset({'Result_Home Win'}),0.1569394587181866,0.48162787883676844,0.1044649699511959,0.6656386533024929,1.3820600562204763,1.0,0.028878551342965103,1.5503350679831929,0.32790342798475985,0.1955897900619242,0.3549781459172664,0.44126920522088053
"frozenset({'Result_Home Win', 'Tournament_FIFA World Cup'})","frozenset({'Away_Weak', 'Venue_Home Venue'})",0.12148590327915137,0.5958536683741379,0.09970556205380551,0.8207171314741036,1.3773803452675455,1.0,0.027317740929177464,2.2542384275131426,0.31187219822389073,0.16143146346241755,0.5563912016604242,0.4940247134389404
"frozenset({'Venue_Home Venue', 'Home_Strong'})","frozenset({'Away_Weak', 'Result_Home Win'})",0.11019239301415722,0.43262211107974025,0.06473601419755576,0.5874816983894583,1.3579557848377624,1.0,0.017064348506842644,1.3754005257587842,0.29624268930906816,0.13540875727663884,0.2729390593708566,0.3685590479640747
"frozenset({'Away_Weak', 'Goals_Medium', 'Venue_Home Venue'})",frozenset({'Result_Home Win'}),0.2002984713427177,0.48162787883676844,0.12931069253418304,0.6455900120821587,1.340433227497945,1.0,0.03284136464714266,1.4626340646003455,0.31758415849185284,0.23399751842931174,0.31630198953882366,0.4570383692434912
